"lu";"ma";"me";"je";"ve";"sa";"di";"lu";"ma";"me";"je";"ve";"sa";"di";"lu";"ma";"me";"je";"ve";"sa";"di";"lu";"ma";"me";"je";"ve";"sa";"di";"lu";"ma";"me";"je";"ve";"sa";"di";"lu";"ma";"me";"je";"ve";"sa";"di";"lu";"ma";"me";"je";"ve";"sa";"di";"lu";"ma";"me";"je";"ve";"sa";"di";"lu";"ma";"me";"je";"ve";"sa";"di";"lu";"ma";"me";"je";"ve";"sa";"di";"lu";"ma";"me";"je";"ve";"sa";"di";"lu";"ma";"me";"je";"ve";"sa";"di";"lu";"ma";"me";"je";"ve";"sa";"di";"lu";"ma";"me";"je";"ve";"sa";"di";"lu";"ma";"me";"je";"ve";"sa";"di";"lu";"ma";"me";"je";"ve";"sa";"di";"lu";"ma";"me";"je";"ve";"sa";"di";"lu";"ma";"me";"je";"ve";"sa";"di";"lu";"ma";"me";"je";"ve";"sa";"di";"lu";"ma";"me";"je";"ve";"sa";"di";"lu";"ma";"me";"je";"ve";"sa";"di";"lu";"ma";"me";"je";"ve";"sa";"di";"lu";"ma";"me";"je";"ve";"sa";"di";"lu";"ma";"me";"je";"ve";"sa";"di";"lu";"ma";"me";"je";"ve";"sa";"di";"lu";"ma";"me";"je";"ve";"sa";"di";"lu";"ma";"me";"je";"ve";"sa";"di";"lu";"ma";"me";"je";"ve";"sa";"di";"lu";"ma";"me";"je";"ve";"sa";"di";"lu";"ma";"me";"je";"ve";"sa";"di";"lu";"ma";"me";"je";"ve";"sa";"di";"lu";"ma";"me";"je";"ve";"sa";"di";"lu";"ma";"me";"je";"ve";"sa";"di";"lu";"ma";"me";"je";"ve";"sa";"di";"lu";"ma";"me";"je";"ve";"sa";"di";"lu";"ma";"me";"je";"ve";"sa";"di";"lu";"ma";"me";"je";"ve";"sa";"di";"lu";"ma";"me";"je";"ve";"sa";"di";"lu";"ma";"me";"je";"ve";"sa";"di";"lu";"ma";"me";"je";"ve";"sa";"di";"lu";"ma";"me";"je";"ve";"sa";"di";"lu";"ma";"me";"je";"ve";"sa";"di";"lu";"ma";"me";"je";"ve";"sa";"di";"lu";"ma";"me";"je";"ve";"sa";"di";"lu";"ma";"me";"je";"ve";"sa";"di";"lu";"ma";"me";"je";"ve";"sa";"di";"lu";"ma";"me";"je";"ve";"sa";"di";"lu";"ma";"me";"je";"ve";"sa";"di";"lu";"ma";"me";"je";"ve";"sa";"di";"lu";"ma";"me";"je";"ve";"sa";"di";"lu";"ma";"me";"je";"ve";"sa";"di"
"HO";0;0;1;1;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0
"LF";0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;1;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0
"LL";0;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;1;0;1;1;1;0;0;1;0;1;1;1;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;1;0;1;1;1;0;0;0;1;1;1;1;0;0;1;0;1;1;1;0;0;1;1;1;1;1;0;0;1;0;1;1;1;0;0;1;0;1;1;1;0;0;1;0;1;0;1;0;0;1;0;1;1;1;0;0;0;1;1;1;1;0;0;1;0;1;1;1;0;0;1;0;1;1;1;0;0;1;0;1;1;1;0;0;1;0;1;1;1;0;0;1;0;1;1;1;0;0;1;0;1;1;1;0;0;1;0;1;1;1;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;1;1;0;1;1;0;0;1;0;1;1;1;0;0;1;0;1;1;1;0;0;1;0;1;1;1;0;0;1;0;1;1;1;0;0;1;0;1;1;1;0;0;1;0;1;1;1;0;0;1;0;1;1;1;0;0;1;0;1;1;1;0;0;1;0;1;1;1;0;0;1;0;1;1;1;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;1;0;1;1;1;0;0;1;0;1;1;1;0;0;1;1;1;1;1;0;0
"YL";0;1;1;1;1;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;1;1;1;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;1;0;1;0;0;1;1;1;0;0;0;0;0;1;1;0;1;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;0;1;1;1;1;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;0
"MZ";0;1;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0
"FP";0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;1;1;1;0;0;0;0;1;1;0;0;0;0;0
"PP";0;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;0;0;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;1;1;1;1;1;0;0;0;1;1;1;1;0;0;1;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;1;1;0;0;1;0;1;1;1;0;0;1;0;1;0;1;0;0;1;1;0;1;1;0;0;0;1;1;1;1;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1;1;0;1;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0
"PE";0;1;1;1;1;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;1;1;0;1;0;0;0;1;1;0;1;0;0;0;1;1;0;1;0;0;0;1;1;0;1;0;0;0;0;1;1;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;1;0;1;1;0;0;0;1;0;1;0;1;0;0;1;1;0;1;0;0;0;0;1;0;1;1;0;0;1;1;0;1;0;0;0;1;1;0;1;0;0;0;1;1;0;1;0;0;0;1;1;0;1;0;0;0;1;1;0;1;0;0;0;1;1;0;1;0;0;0;1;1;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;1;1;0;1;0;0;0;1;1;0;1;0;0;0;1;1;0;1;0;0;0;1;1;0;1;0;0;0;1;1;0;1;0;0;0;1;1;0;1;0;0;0;1;1;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;1;1;0;1;0;0;0;1;1;0;1;0;0;0;1;1;0;1;0;0;0;1;1;0;1;0;0;0;1;1;0;1;0;0;0;1;1;0;1;0;0;0
"RY";0;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;0;1;1;1;1;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;1;0;1;0;1;0;0;1;1;1;1;0;0;0;0;1;1;1;1;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0
"FR";0;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;1;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;1;0;1;1;1;0;0;1;0;1;0;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;1;1;0;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;1;1;1;0;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;1;1;1;1;1;0;0
"RF";0;0;0;0;0;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1;1;0;0;0;0;1;1;1;1;1;0;0;0;1;1;1;1;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;1;0;1;1;1;0;0;1;0;1;0;1;0;0;1;1;0;1;1;0;0;0;1;1;1;1;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1;1;1;0;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0
"BS";0;1;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;1;0;1;0;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;1;1;1;0;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0
"SC";0;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;0;1;0;0;1;1;1;0;1;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;1;1;1;0;1;0;0;1;1;1;0;1;0;0;1;1;1;0;1;0;0;1;1;1;0;1;0;0;0;1;1;1;1;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;1;0;1;1;1;0;0;1;0;1;0;1;0;0;1;1;1;0;1;0;0;0;1;1;1;1;0;0;1;1;1;0;1;0;0;1;1;1;0;1;0;0;1;1;1;0;1;0;0;1;1;1;0;1;0;0;1;1;1;0;1;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;1;1;0;1;1;0;0;1;1;1;0;1;0;0;1;1;1;0;1;0;0;1;1;1;0;1;0;0;1;1;1;0;1;0;0;1;1;1;0;1;0;0;1;1;1;0;1;0;0;1;1;1;0;1;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;1;1;1;0;1;0;0;1;1;1;0;1;0;0;1;1;1;0;1;0;0;1;1;1;0;1;0;0;1;1;1;0;1;0;0;1;1;1;0;1;0;0;1;1;1;0;1;0;0;1;1;1;0;1;0;0
"TR";0;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;0;1;1;1;0;0;1;0;1;1;1;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;1;0;1;1;1;0;0;1;0;1;1;1;0;0;1;0;1;1;1;0;0;1;0;1;1;1;0;0;0;1;1;1;1;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;1;0;1;1;1;0;0;1;0;1;0;1;0;0;1;0;1;1;1;0;0;0;1;1;1;1;0;0;1;0;1;1;1;0;0;1;0;1;1;1;0;0;1;0;1;1;1;0;0;1;0;1;1;1;0;0;1;0;1;1;1;0;0;1;0;1;1;1;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;1;0;1;1;1;0;0;1;0;1;1;1;0;0;1;0;1;1;1;0;0;1;0;1;1;1;0;0;1;0;1;1;1;0;0;1;0;1;1;1;0;0;1;0;1;1;1;0;0;1;0;1;1;1;0;0;1;0;1;1;1;0;0;1;0;1;1;1;0;0;1;1;1;0;1;0;0;1;0;1;1;1;0;0;1;0;1;1;1;0;0;1;0;1;1;1;0;0;1;0;1;1;1;0;0;1;0;1;1;1;0;0;1;0;1;1;1;0;0;1;0;1;1;1;0;0
"WR";0;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;0;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;1;1;1;1;1;0;0;1;0;1;1;1;0;0;1;0;1;0;1;0;0;1;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;1;1;1;0;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0
"ND";0;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;0;1;1;1;0;0;1;0;1;0;1;0;0;1;1;0;1;1;0;0;0;1;1;1;1;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0
"PJP";0;0;0;0;0;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;1;1;1;0;1;0;0;1;1;1;0;1;0;0;1;1;1;0;1;0;0;1;1;1;0;1;0;0;0;1;1;1;1;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;1;0;1;1;1;0;0;1;0;1;0;1;0;0;1;1;1;0;1;0;0;0;1;1;1;1;0;0;1;1;1;0;1;0;0;1;1;1;0;1;0;0;1;1;1;0;1;0;0;1;1;1;0;1;0;0;1;1;1;0;1;0;0;1;1;1;0;1;0;0;1;1;1;0;1;0;0;1;1;1;0;1;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;1;1;1;0;1;0;0;1;1;1;0;1;0;0;1;1;1;0;1;0;0;1;1;1;0;1;0;0;1;1;1;0;1;0;0;1;1;1;0;1;0;0;1;1;1;0;1;0;0;1;1;1;0;1;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;1;1;1;0;1;0;0;1;1;1;0;1;0;0;1;1;1;0;1;0;0;1;1;1;0;1;0;0;1;1;1;0;1;0;0;1;1;1;0;1;0;0
